app_area,flow,variant,api_request_url,current_code_file,csv_claimed_database_fields,actual_current_database_fields_or_behavior,mismatch_summary
customer,registration,customer signup submit,POST /api/auth/register/customer,app/api/auth/register/customer/route.ts,"profiles.id, full_name, email, role, phone, avatar_url, status; customer_profiles.id, first_name, last_name, date_of_birth, sex, city, region, state, country, verified; addresses.user_id, label, address_line_1, address_line_2, city, state, postcode, country, is_default","profiles.id, full_name, email, role, phone, status; customer_profiles.id, first_name, last_name, date_of_birth, city, region, state, country","Signup alignment improved. Current route now persists date_of_birth and location fields, but still does not save avatar_url, sex, verified, or addresses rows."
customer,profile update,general profile edit,PATCH /api/profile/me,app/api/profile/me/route.ts,"profiles.full_name, email, phone, avatar_url; auth user_metadata.full_name, first_name, last_name, sex, country, emergency_contact_number, email_verified, phone_verified, identity_verification_status, identity_document_type; customer_profiles.first_name, last_name, date_of_birth, sex, phone_number, country_code, emergency_contact_number, identity_document_type, identity_front_image_url, identity_back_image_url, city, region, country, verified, completion, updated_at","profiles.full_name, email, phone; auth user_metadata.full_name, first_name, last_name, sex; customer_profiles.first_name, last_name, date_of_birth, sex, phone_number, country_code, city, region, state, country, verified, completion, updated_at","PATCH alignment improved. Current route now persists sex, country, and state in customer_profiles, but still does not save avatar_url, auth verification flags, emergency_contact_number, identity_document_type, or identity image URLs."
customer,verification,email verification status update,PATCH /api/profile/me,app/api/profile/me/route.ts,"profiles.email; auth user_metadata.email_verified","profiles.email only if email is included in payload; no email_verified persistence","Current backend still does not support emailVerified in the customer PATCH payload."
customer,verification,phone verification status update,PATCH /api/profile/me,app/api/profile/me/route.ts,"profiles.phone; customer_profiles.phone_number, country_code; auth user_metadata.phone_verified","profiles.phone; customer_profiles.phone_number, country_code","Current backend updates phone values but does not persist phone_verified."
customer,verification,identity or IC or passport submit,PATCH /api/profile/me,app/api/profile/me/route.ts,"auth user_metadata.identity_verification_status, identity_document_type; customer_profiles.identity_document_type, identity_front_image_url, identity_back_image_url, verified","customer_profiles.verified only if sent; no identity document type or identity image fields are handled","Current backend does not implement customer identity verification persistence."
provider,registration,main registration submit,POST /api/provider/register,app/api/provider/register/route.ts,"profiles.id, full_name, email, role, phone, avatar_url, status; provider_profiles.marketing_name, sex, date_of_birth, residential_address, service_location, service_radius_km, bio, approval_status, verification_status, is_visible, formatted_address, road, suburb, city, state, postcode, country, house_number, latitude, longitude; provider_availability.provider_id, day_of_week, time_mode, start_time, end_time; provider_verifications.phone_verified, email_verified, identity_verified, kyc_verified, background_check_verified, identity_document_type, identity_front_image_url, identity_back_image_url; provider_services.provider_id, service_type, years_experience, hourly_rate, daily_rate, image_data_urls, image_captions, certificate_data_urls, certificate_captions; provider_service_specialties.provider_service_id, specialty","profiles.id, full_name, email, role, phone, status; provider_profiles.id, marketing_name, service_location, service_radius_km, date_of_birth, sex, residential_address, profile_photo_url, bio, approval_status, is_visible; provider_admin_metadata.provider_id, availability_days, availability_time_preset, availability_start_time, availability_end_time, service_image_files, service_image_captions, certificate_image_files, certificate_image_captions, emergency_contact, profile_image_name, current_latitude, current_longitude; provider_verifications.provider_id, phone_verified, email_verified, identity_verified, kyc_verified, background_check_verified, document_type, identity_document_type, front_image_name, back_image_name, document_front_url, document_back_url, identity_front_image_url, identity_back_image_url; provider_services.provider_id, service_type, years_experience, hourly_rate, daily_rate; provider_service_specialties.provider_service_id, specialty","Major registration naming mismatch remains. Current code stores availability/media in provider_admin_metadata and profile image in provider_profiles.profile_photo_url."
provider,profile update,general provider profile edit,PATCH /api/provider/me,app/api/provider/me/route.ts,"profiles.full_name, avatar_url; auth user_metadata.full_name, first_name, last_name, country, emergency_contact_number, identity_verification_status, identity_document_type; provider_profiles.marketing_name, service_location, service_radius_km, bio, approval_status, is_visible","profiles.full_name; auth user_metadata.full_name, first_name, last_name, marketing_name; provider_profiles.marketing_name, service_location, service_radius_km, bio; provider_admin_metadata.emergency_contact, availability_days, availability_time_preset, availability_start_time, availability_end_time","Provider PATCH alignment improved. Current route now syncs auth name metadata and writes emergency contact plus availability metadata to provider_admin_metadata, but it still does not persist avatar, identity verification fields, approval_status, or is_visible."
provider,profile fetch,provider dashboard data load,GET /api/provider/me,app/api/provider/me/route.ts,"Older CSV implied a narrower or older provider read model","profiles.id, full_name, email, role, status, phone; provider_profiles.marketing_name, profile_photo_url, service_location, service_radius_km, date_of_birth, sex, residential_address, bio, approval_status, is_visible; provider_admin_metadata.availability_days, availability_time_preset, availability_start_time, availability_end_time, emergency_contact, current_latitude, current_longitude; provider_verifications.phone_verified, email_verified, identity_verified, kyc_verified, background_check_verified; provider_services.id, service_type, years_experience, hourly_rate, daily_rate; provider_service_specialties.specialty","Provider GET alignment improved. Current route now exposes the canonical provider read model used by the dashboard and closer to admin expectations."
provider,verification,provider identity screen,PATCH /api/provider/me,app/api/provider/me/route.ts,"provider_verifications.phone_verified, email_verified, identity_verified, kyc_verified, identity_document_type, identity_front_image_url, identity_back_image_url; auth user_metadata.identity_verification_status, identity_document_type","No current provider PATCH support for these identity fields in this repo","Identity verification edit flow is still not implemented in current provider UI/PATCH route."
provider,verification,registration wizard follow-up verification patch,PATCH /api/provider/me,app/api/provider/me/route.ts,"provider_verifications.phone_verified, email_verified, identity_verified, kyc_verified; auth user_metadata.identity_verification_status","No current provider PATCH support for these verification fields in this repo","Follow-up verification PATCH flow is still not implemented in current provider UI/PATCH route."
