flow,variant,screen_file_path,api_request_url,submit_function_name,payload_object_exactly_as_sent,type_interface_name,uploaded_file_fields,where_each_file_ends_up,exact_database_related_field_names,notes
registration,customer signup submit,D:\della-pwa\app\signup\user\page.tsx; D:\della-pwa\app\api\auth\register\customer\route.ts,POST /api/auth/register/customer,inline startTransition submit in signup page,"{ firstName, lastName, dateOfBirth, sex, email, phoneNumber, city, state: stateName, country, password, confirmPassword }",CustomerSignupPayload,none,no file upload in current repo route,"profiles.id, full_name, email, role, phone, status; customer_profiles.id, first_name, last_name, date_of_birth, city, region, state, country","Current repo route persists basic customer profile fields only. It does not persist avatar, emergency contact, verification media, or addresses rows."
profile update,general profile edit,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\lib\profile-browser.ts; D:\della-pwa\app\api\profile\me\route.ts,PATCH /api/profile/me,handleSave -> saveCustomerProfile,"JSON.stringify(form) where form = { firstName, lastName, sex, dateOfBirth, email, phoneNumber, countryCode, city, region, country, verified, completion }",CustomerProfile on client; UpdatePayload on server,none,no file upload in current repo route,"profiles.full_name, email, phone; auth user_metadata.full_name, first_name, last_name, sex; customer_profiles.first_name, last_name, date_of_birth, sex, phone_number, country_code, city, region, state, country, verified, completion, updated_at","This row now reflects the actual CustomerProfile payload used by the current UI and local-storage helper."
verification,email verification status update,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\profile\me\route.ts,PATCH /api/profile/me,no active caller found in current repo customer UI,"No current CustomerProfile payload field for emailVerified was found in this repo",not implemented in current repo,none,no file upload,"No backend persistence for auth user_metadata.email_verified in current repo customer PATCH route","Old CSV row described a verification flag flow that is not implemented by the current repo's customer profile client or PATCH route."
verification,phone verification status update,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\profile\me\route.ts,PATCH /api/profile/me,no active caller found in current repo customer UI,"No current CustomerProfile payload field for phoneVerified was found in this repo",not implemented in current repo,none,no file upload,"profiles.phone; customer_profiles.phone_number, country_code","Current repo can persist phone values, but it does not implement a dedicated phoneVerified flag flow."
verification,identity / IC / passport submit,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\profile\me\route.ts,PATCH /api/profile/me,no active caller found in current repo customer UI,"No current CustomerProfile payload fields for identityVerificationStatus, identityDocumentType, identityFrontImageUrl, or identityBackImageUrl were found in this repo",not implemented in current repo,none,no file upload,"customer_profiles.verified can still be updated if sent, but no identity document or identity image persistence exists in the current customer PATCH route","Old CSV row described an identity-verification flow that is not present in the current repo's customer UI contract."
booking creation,create booking request,D:\della-pwa\app\providers\[id]\book\screen.tsx; D:\della-pwa\app\api\bookings\route.ts,POST /api/bookings,inline booking submit in provider booking screen,"{ providerId: detail.id, providerName: detail.name, serviceKey: detail.serviceKey, serviceLabel: detail.serviceLabel, location: serviceAddress.trim(), bookingMode, dateLabel: bookingDateLabel, startTimeLabel: bookingStartLabel, endTimeLabel: bookingEndLabel, timeLabel: bookingTimeLabel, durationHours, notes: [locationNote.trim(), notes.trim()].filter(Boolean).join(""\n""), hourlyRate: detail.hourlyRate, dailyRate: detail.dailyRate, totalAmount }",BookingBody validated as CompleteBookingBody,none,no file upload,"bookings.customer_id, provider_id, provider_service_id, booking_status, booking_mode, service_key, service_label, location_text, scheduled_date, scheduled_start_time, scheduled_end_time, duration_hours, customer_note, hourly_rate, daily_rate, quoted_amount, booking_price, final_amount; booking_messages.booking_id, sender_id, sender_role, message_text","Route also reads provider_availability.day_of_week, start_time, end_time and existing bookings for conflict validation"
booking updates,cash payment confirmation,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\bookings\[id]\cash-pay\route.ts,POST /api/bookings/{id}/cash-pay,handleCashPaid,"{ proofDataUrl: paymentProofDataUrl, proofFileName: paymentProofFileName, proofMimeType: paymentProofMimeType }",CashPaymentPayload,proofDataUrl,"proofDataUrl -> Supabase Storage bucket payment-proofs private -> payments.customer_payment_proof_data_url, customer_payment_proof_file_name, customer_payment_proof_mime_type; also bookings.cash_payment_proof_images","payments.status, payment_method, paid_at, customer_confirmed_at, customer_payment_proof_data_url, customer_payment_proof_file_name, customer_payment_proof_mime_type; bookings.booking_status, cash_paid_by_user_at, cash_payment_proof_images",Marks booking_status cash_paid_by_user
booking updates,customer review submit,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\bookings\[id]\review\route.ts,POST /api/bookings/{id}/review,submitReview,"{ rating, comment, photos, tags: selectedTags, recommend }",ReviewPayload,photos,photos -> Supabase Storage bucket review-images public -> reviews.photos,"reviews.booking_id, provider_id, customer_id, rating, comment, photos, tags, recommend; bookings.booking_status, user_review_status, reviewed_at",Server falls back to rating/comment-only write if review metadata columns are missing
booking updates,confirm provider finished work,D:\della-pwa\app\api\bookings\[id]\complete\route.ts,POST /api/bookings/{id}/complete,no current customer UI caller found,No request body required,no request body type declared,none,no file upload,"bookings.booking_status, work_confirmed_by_user_at","Server-side route exists and moves booking to work_confirmed_by_user, but no active customer fetch caller was found"
payments,payment history fetch,D:\della-pwa\app\profile\_components\profile-ui.tsx; D:\della-pwa\app\api\profile\payments\route.ts,GET /api/profile/payments,history loader only; no submit,No request body,PaymentHistoryItem[] response,none,no file upload,"payments.id, booking_id, provider_id, service_title, amount, payment_method, status, paid_at, created_at; fallback bookings.id, provider_id, service_label, booking_status, final_amount, quoted_amount, booking_price, cash_paid_by_user_at, completed_at, created_at",Read-only flow used by profile payments screen
