app_area,flow,variant,api_request_url,current_code_file,csv_claimed_database_fields,actual_current_database_fields_or_behavior,mismatch_summary
customer,registration,customer signup submit,POST /api/auth/register/customer,app/api/auth/register/customer/route.ts,"profiles.id, full_name, email, role, phone, avatar_url, status; customer_profiles.id, first_name, last_name, date_of_birth, sex, city, region, state, country, verified; addresses.user_id, label, address_line_1, address_line_2, city, state, postcode, country, is_default","profiles.id, full_name, email, role, phone, status; customer_profiles.id, first_name, last_name, country","CSV overstates signup persistence. Current route does not save avatar_url, date_of_birth, sex, city/region/state, verified, or any addresses rows."
customer,profile update,general profile edit,PATCH /api/profile/me,app/api/profile/me/route.ts,"profiles.full_name, email, phone, avatar_url; auth user_metadata.full_name, first_name, last_name, sex, country, emergency_contact_number, email_verified, phone_verified, identity_verification_status, identity_document_type; customer_profiles.first_name, last_name, date_of_birth, sex, phone_number, country_code, emergency_contact_number, identity_document_type, identity_front_image_url, identity_back_image_url, city, region, country, verified, completion, updated_at","profiles.full_name, email, phone; auth user_metadata.full_name, first_name, last_name, sex; customer_profiles.first_name, last_name, date_of_birth, phone_number, country_code, city, region, verified, completion, updated_at","Current PATCH route does not save avatar_url, auth verification flags, emergency_contact_number, customer_profiles.sex, customer_profiles.country, identity_document_type, or identity image URLs."
customer,verification,email verification status update,PATCH /api/profile/me,app/api/profile/me/route.ts,"profiles.email; auth user_metadata.email_verified","profiles.email only if email is included in payload; no email_verified persistence","CSV says email verification flag is persisted, but the current backend does not support emailVerified in the PATCH payload."
customer,verification,phone verification status update,PATCH /api/profile/me,app/api/profile/me/route.ts,"profiles.phone; customer_profiles.phone_number, country_code; auth user_metadata.phone_verified","profiles.phone; customer_profiles.phone_number, country_code","Current backend updates phone values but does not persist phone_verified."
customer,verification,identity or IC or passport submit,PATCH /api/profile/me,app/api/profile/me/route.ts,"auth user_metadata.identity_verification_status, identity_document_type; customer_profiles.identity_document_type, identity_front_image_url, identity_back_image_url, verified","customer_profiles.verified only if sent; no identity document type or identity image fields are handled","CSV describes identity verification persistence that the current backend route does not implement."
provider,registration,main registration submit,POST /api/provider/register,app/api/provider/register/route.ts,"profiles.id, full_name, email, role, phone, avatar_url, status; provider_profiles.marketing_name, sex, date_of_birth, residential_address, service_location, service_radius_km, bio, approval_status, verification_status, is_visible, formatted_address, road, suburb, city, state, postcode, country, house_number, latitude, longitude; provider_availability.provider_id, day_of_week, time_mode, start_time, end_time; provider_verifications.phone_verified, email_verified, identity_verified, kyc_verified, background_check_verified, identity_document_type, identity_front_image_url, identity_back_image_url; provider_services.provider_id, service_type, years_experience, hourly_rate, daily_rate, image_data_urls, image_captions, certificate_data_urls, certificate_captions; provider_service_specialties.provider_service_id, specialty","profiles.id, full_name, email, role, phone, status; provider_profiles.id, marketing_name, service_location, service_radius_km, date_of_birth, sex, residential_address, profile_photo_url, bio, approval_status, is_visible; provider_admin_metadata.provider_id, availability_days, availability_time_preset, availability_start_time, availability_end_time, service_image_files, service_image_captions, certificate_image_files, certificate_image_captions, emergency_contact, profile_image_name, current_latitude, current_longitude; provider_verifications.provider_id, phone_verified, email_verified, identity_verified, kyc_verified, background_check_verified, document_type, identity_document_type, front_image_name, back_image_name, document_front_url, document_back_url, identity_front_image_url, identity_back_image_url; provider_services.provider_id, service_type, years_experience, hourly_rate, daily_rate; provider_service_specialties.provider_service_id, specialty","Major schema mismatch. Current code uses provider_profiles.profile_photo_url instead of profiles.avatar_url, stores availability and media maps in provider_admin_metadata instead of provider_availability or provider_services media columns, and does not write the many provider_profiles address columns listed by the CSV."
provider,profile update,general provider profile edit,PATCH /api/provider/me,app/api/provider/me/route.ts,"profiles.full_name, avatar_url; auth user_metadata.full_name, first_name, last_name, country, emergency_contact_number, identity_verification_status, identity_document_type; provider_profiles.marketing_name, service_location, service_radius_km, bio, approval_status, is_visible","profiles.full_name; provider_profiles.marketing_name, service_location, service_radius_km, bio","Current provider PATCH route is much narrower than the CSV. It does not persist avatar, auth metadata, emergency contact, identity verification fields, approval_status, or is_visible."
provider,verification,provider identity screen,PATCH /api/provider/me,app/api/provider/me/route.ts,"provider_verifications.phone_verified, email_verified, identity_verified, kyc_verified, identity_document_type, identity_front_image_url, identity_back_image_url; auth user_metadata.identity_verification_status, identity_document_type","No current provider PATCH support for these identity fields in this repo","CSV describes verification writes that are not implemented by the current provider PATCH route."
provider,verification,registration wizard follow-up verification patch,PATCH /api/provider/me,app/api/provider/me/route.ts,"provider_verifications.phone_verified, email_verified, identity_verified, kyc_verified; auth user_metadata.identity_verification_status","No current provider PATCH support for these verification fields in this repo","CSV describes a follow-up verification PATCH flow that the current provider PATCH route does not implement."
provider,service details,create service,POST /api/provider/services,not present in this repo,"provider_services.provider_id, service_type, years_experience, hourly_rate, daily_rate, is_active; provider_service_specialties.provider_service_id, specialty","No matching route file found in this repo for POST /api/provider/services","CSV documents a flow outside this repo or from another code version, so it cannot be verified here."
provider,service details,update service,PATCH /api/provider/services/{id},not present in this repo,"provider_services.years_experience, hourly_rate, daily_rate, image_data_urls, image_captions; provider_service_specialties.provider_service_id, specialty","No matching route file found in this repo for PATCH /api/provider/services/{id}","CSV documents a flow outside this repo or from another code version, so it cannot be verified here."
provider,certificates,registration-only certificate upload,POST /api/provider/register,app/api/provider/register/route.ts,"provider_services.certificate_data_urls, certificate_captions","provider_admin_metadata.certificate_image_files, provider_admin_metadata.certificate_image_captions","Current code stores certificate references in provider_admin_metadata, not provider_services certificate columns."
admin,provider read model,service provider admin fields,admin UI read path,src/lib/admin-providers.ts,"Implicitly aligned with provider_profiles location/media fields listed in provider CSV","Reads provider_admin_metadata.service_image_files, certificate_image_files, emergency_contact, current_latitude, current_longitude and provider_verifications.identity_front_image_url, identity_back_image_url","Admin UI is aligned with the current route/storage model, not with older provider CSV field targets."
