flow,variant,screen_file_path,api_request_url,submit_function_name,payload_object_exactly_as_sent,type_interface_name,uploaded_file_fields,where_each_file_ends_up,exact_database_related_field_names,notes
registration,main registration submit,D:\della-pwa\app\provider\register\wizard.tsx; D:\della-pwa\app\api\provider\register\route.ts,POST /api/provider/register,submitRegistration,"JSON.stringify(data) where data = { basicProfile, account, selectedServices, serviceDetails, availability, providerLocation, verification }",ProviderRegistrationData; ProviderServiceDetails,profile image plus verification and service media references,current repo route persists profile/verification/media references into provider_profiles plus provider_admin_metadata plus provider_verifications,"profiles.id, full_name, email, role, phone, status; provider_profiles.id, marketing_name, service_location, service_radius_km, date_of_birth, sex, residential_address, profile_photo_url, bio, approval_status, is_visible; provider_admin_metadata.provider_id, availability_days, availability_time_preset, availability_start_time, availability_end_time, service_image_files, service_image_captions, certificate_image_files, certificate_image_captions, emergency_contact, profile_image_name, current_latitude, current_longitude; provider_verifications.provider_id, phone_verified, email_verified, identity_verified, kyc_verified, background_check_verified, document_type, identity_document_type, front_image_name, back_image_name, document_front_url, document_back_url, identity_front_image_url, identity_back_image_url; provider_services.provider_id, service_type, years_experience, hourly_rate, daily_rate; provider_service_specialties.provider_service_id, specialty","Current repo stores provider availability and media maps in provider_admin_metadata rather than provider_availability or provider_services media columns."
profile update,provider dashboard listing edit,D:\della-pwa\app\provider\dashboard\provider-dashboard-client.tsx; D:\della-pwa\app\api\provider\me\route.ts,PATCH /api/provider/me,handleSave,"JSON.stringify({ fullName, marketingName, serviceLocation, serviceRadiusKm: Number(form.serviceRadiusKm), bio, emergencyContact, availabilityDays, availabilityHours })",UpdatePayload,none,no file upload in current provider dashboard edit flow,"profiles.full_name; auth user_metadata.full_name, first_name, last_name, marketing_name; provider_profiles.marketing_name, service_location, service_radius_km, bio; provider_admin_metadata.emergency_contact, availability_days, availability_time_preset, availability_start_time, availability_end_time","This is the active provider edit flow in the current repo. It now writes emergencyContact and availability metadata to provider_admin_metadata. It still does not send avatar or identity document fields."
profile fetch,provider dashboard data load,D:\della-pwa\app\provider\dashboard\provider-dashboard-client.tsx; D:\della-pwa\app\api\provider\me\route.ts,GET /api/provider/me,loadDashboard,No request body,ProviderDashboardData response,none,read-only provider dashboard data,"profiles.id, full_name, email, role, status, phone; provider_profiles.marketing_name, profile_photo_url, service_location, service_radius_km, date_of_birth, sex, residential_address, bio, approval_status, is_visible; provider_admin_metadata.availability_days, availability_time_preset, availability_start_time, availability_end_time, emergency_contact, current_latitude, current_longitude; provider_verifications.phone_verified, email_verified, identity_verified, kyc_verified, background_check_verified; provider_services.id, service_type, years_experience, hourly_rate, daily_rate; provider_service_specialties.specialty","Current repo GET now exposes canonical provider read fields for dashboard display without introducing new write behavior."
verification / NRIC / passport,provider identity screen,D:\della-pwa\app\provider\dashboard\provider-dashboard-client.tsx; D:\della-pwa\app\api\provider\me\route.ts,PATCH /api/provider/me,no active caller found in current repo provider UI,"No current dashboard payload fields for identityVerificationStatus, identityDocumentType, identityFrontImageUrl, or identityBackImageUrl were found in this repo",not implemented in current repo,none,no file upload,"provider_verifications values are read on GET, but current PATCH route and current provider dashboard edit flow do not update identity document fields","Old CSV row described an identity verification edit flow that is not present in the current repo."
verification / NRIC / passport,registration wizard follow-up verification patch,D:\della-pwa\app\provider\register\wizard.tsx; D:\della-pwa\app\api\provider\me\route.ts,PATCH /api/provider/me,no active caller found in current repo provider UI,"No current provider dashboard payload field for phoneVerified or identityVerificationStatus was found in this repo's active provider edit flow",not implemented in current repo,none,no file upload,"Verification flags are initially persisted during registration POST; current provider PATCH route does not implement this follow-up verification update flow","Actual document and verification data are persisted during registration in the current repo."
service details,create service,D:\della-pwa\app\provider\_components\provider-screens.tsx; D:\della-pwa\app\api\provider\services\route.ts,POST /api/provider/services,saveService,"JSON.stringify({ serviceType: form.serviceType, yearsExperience: form.yearsExperience, hourlyRate: Number(form.hourlyRate || 0), dailyRate: Number(form.dailyRate || 0), specialties: form.specialties.split("","").map((item) => item.trim()).filter(Boolean), imageDataUrls: serviceImageDataUrls, imageCaptions: serviceImageCaptions })",client local form state; server ServicePayload,portfolio/service images = imageDataUrls sent by UI,POST route ignores imageDataUrls and imageCaptions; no storage write for media on create route,"provider_services.provider_id, service_type, years_experience, hourly_rate, daily_rate, is_active; provider_service_specialties.provider_service_id, specialty",Important gap: media is sent by client but not persisted by POST route
service details,update service,D:\della-pwa\app\provider\_components\provider-screens.tsx; D:\della-pwa\app\api\provider\services\[id]\route.ts,PATCH /api/provider/services/{id},saveService,"JSON.stringify({ serviceType: form.serviceType, yearsExperience: form.yearsExperience, hourlyRate: Number(form.hourlyRate || 0), dailyRate: Number(form.dailyRate || 0), specialties: form.specialties.split("","").map((item) => item.trim()).filter(Boolean), imageDataUrls: serviceImageDataUrls, imageCaptions: serviceImageCaptions })",ServicePayload,portfolio/service images = imageDataUrls,imageDataUrls -> Supabase Storage bucket provider-work-images -> provider_services.image_data_urls; captions -> provider_services.image_captions,"provider_services.years_experience, hourly_rate, daily_rate, image_data_urls, image_captions; provider_service_specialties.provider_service_id, specialty",Update route deletes and reinserts specialties
certificates,registration-only certificate upload,D:\della-pwa\app\provider\register\wizard.tsx; D:\della-pwa\app\api\provider\register\route.ts,POST /api/provider/register,submitRegistration,"Inside ProviderRegistrationData, serviceDetails[service].certificateDataUrls and serviceDetails[service].certificateCaptions travel inside JSON.stringify(data)",ProviderRegistrationData; ProviderServiceDetails,certificates = serviceDetails[service].certificateDataUrls,certificateDataUrls -> Supabase Storage bucket certificates private -> provider_services.certificate_data_urls; certificateCaptions -> provider_services.certificate_captions,"provider_services.certificate_data_urls, certificate_captions",I found no post-registration provider-app submit flow that updates certificates
bookings / task updates,booking status and payment-request actions,D:\della-pwa\app\provider\bookings\provider-bookings-screen.tsx; D:\della-pwa\app\provider\_components\provider-app.tsx; D:\della-pwa\app\api\provider\bookings\[id]\route.ts,PATCH /api/provider/bookings/{bookingId},handleAccept; handleDecline; handleOnTheWay; handleArrived; handleWorkFinished; handleSendPaymentRequest; handleConfirmPaymentReceived; handleCompleteProviderJob; network submitter = handleBookingAction,"JSON.stringify({ status, note, finalAmount: actionDetails?.finalAmount, workFinishedImages: actionDetails?.workFinishedImages, paymentBreakdown: actionDetails?.paymentBreakdown })",UpdatePayload,work completion images = workFinishedImages,workFinishedImages -> Supabase Storage bucket job-completion-images private -> bookings.work_finished_images,"bookings.booking_status, accepted_at, provider_response_note, decline_reason, on_the_way_at, arrived_at, work_finished_at, work_finished_images, payment_sent_at, payment_breakdown, booking_price, additional_charges, discount_amount, final_amount, quoted_amount, payment_received_by_provider_at, completed_at, cancelled_at; payments.booking_id, customer_id, provider_id, service_title, currency, amount, payment_provider, payment_option, payment_method, status, company_commission_rate, company_commission_amount, provider_net_amount, company_payment_status, provider_sent_amount_at","When status = final_payment_sent, server also upserts a payments row"
bookings / task updates,provider review submit,D:\della-pwa\app\provider\bookings\provider-bookings-screen.tsx; D:\della-pwa\app\api\provider\bookings\[id]\review\route.ts,POST /api/provider/bookings/{bookingId}/review,handleSubmitProviderReview,"JSON.stringify({ rating: reviewRating, comment: reviewComment.trim(), photos: reviewPhotos })",ReviewPayload,review photos = photos,photos -> Supabase Storage bucket review-images public -> provider_customer_reviews.photos,"provider_customer_reviews.booking_id, provider_id, customer_id, rating, comment, photos; bookings.provider_review_status",Server falls back to writing review without photos if photos column is unavailable
